,0
316,If you wish to have a good job to deliver food and make money from Uber and thank that it will go well. Well you are very wrong towards on getting paid and all. They have repeatedly lost the money that should of went into my bank but didn't. Well also accuse me on driving concerns towards on safety and riders. Well they don't even have their stuff straight because I'm a cyclist that delivers food not driving. That's what I also got fired for because of driving. So if you just love job abuse and losing your money it's just the best place to be. The whole job is completely unorganized and full of liars.
317,Rarely on time often never showing up. Insult to injury? They still charge your card for cancellation after they failed! There's also the issue with the app often taking the consumer out of their way for additional charges. Then there the back and forth to determine what went wrong.
318,"I have been dealing with an ongoing issue with Uber since 12/23/19. An Uber driver confirmed that I left my phone in their vehicle and that they have my phone. However, they have been no responsive since then. I've tried multiple times to reach the driver, Uber Customer Services and even CEO Personnel, but to no avail. Now Uber customer service sent an email today saying that the driver doesn't have the phone. Many would interrupt this announcement as pure theft on behalf of the drivers part. All I want is my phone back. I have one more day to go here in Las Vegas. In addition, I just want someone to hold the driver accountable for his actions!"
319,"If I could rate this experience any lower, I would. This was my first and last trip with Uber. My credit card was charged $33.60 for the trip to my destination, and $113.62 for the return trip. I contacted Uber and they would not refund the overcharge. This is certainly no way to run a business and no way to treat their customers. Terrible experience. Next time I will call a cab. Attached are photos of my receipts."
320,"Requested an Uber from hotel on the beach to the airport, about a 45 minute drive. While I was waiting I noticed a car similar to the one I was expecting pull up and three people jumped in. Waited a little longer and then noticed that I was on my way. Someone else had taken my ride. To add insult to injury I couldn't request another Uber until that ride was done, and I got charged for it! No response as yet from Uber, I wonder how long it takes for them to respond. The driver obviously didn't verify who he picked up."
321,My Uber is not working. I send email for customer support as it's the only way to contact.-- They keep sending email back to me send me the phone number picture from your phone screen. -- I send them 15 times.-- Again they will send me the same email. I am not able to log in my account-- and they dont care. It's kind of sad.
322,"We used two separate Uber drivers, one on the way to a concert in downtown Austin and the second driver took us back home. Both drivers were safe drivers, their cars were clean and comfortable, and they readily adjusted their thermostat in their car to accommodate our comfort level. The second driver that picked us up from the concert was able to get very close to the arena exit doors. We did not have to walk very far at all to get to his car after the concert. He was there waiting when we walked outside so we did not have to wait at all for him to make his way through the traffic to pick us up. Overall both rides were a good experience."
323,"Down in Orlando Florida it was the first time I've ever used the company Uber. The app made it easy to use the service. Let me first tell you it is very very fair, fast, clean, well respected individuals that we used."
324,"On 1/9/2020 at 05/25 pm I booked on Uber and was accepted a trip to the ER at a local hospital. I asked the driver twice about his whereabouts and twice repeated my location. At 05:34 he (not me) canceled the trip. I was charged a $6.00 cancellation fee. Because the trip was canceled it does not show up in ""My Trips"" and I am not able to challenge this charge. I have found no way to get in touch with Uber otherwise."
325,"If you need a ride right now everything is fine and works perfectly. The problem starts when you need to schedule a ride for later date/time. It is practically impossible to do. I figured after all this years in business they have ironed out the software and killed all the bugs, I was very wrong. For example if I am at location A now but my friend is giving me a ride to location B in 2 hours, then in 3 hours I need a ride from location B to location C, the software blindly tries to match my current location and gives an annoying error message about the location!! Is this so hard to fix? “We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard."" John F. Kennedy. Rice University, September 12, 1962."
326,"Driver picked up my 17 year old son who left his phone in the car. Driver tried to get cash out of my son to bring the phone back, but when he realize he had none he charged my card the $15 returned item fee and never brought the phone back. A police report has been filed. Uber has been no help. Last message I got appears to be automated. If a real person wrote it they absolutely did not read my prior message. In discussing this incident with coworkers my Dr told me her husband was extorted $100 for a new iPhone's return after a night of drinking. I'm going with LYFT and going to be damn careful when I do."
327,Its overall service was great. The only major concern is lack of interior cleanness. Almost all of the cars were dirty and filthy as all window and door handlers were not clean (full of finger/hand oils).
328,"I gave Uber my condo community gate code. They did not come to my door. I decided to wait at the gate. I hauled 2 large duffle bags, a carry-on and a backpack to the gate. I'm 72 years old, it nearly killed me. The driver was late. He said he doesn't enter gated communities. I didn't get my ""within 10 minutes"" discount. Next time I'll call a cab."
329,"When at Sky Harbor airport, I called for an Uber that indicated a fare of $38 from the airport to my home. When I looked at the fare, it was $72. When I try to dispute it, all they say is that this was the fare that I agreed to pay when I booked. That is completely false. But, who thinks to screenshot the fare before booking. But besides that, Uber doesn't even allow for input of the dispute. They force you to claim something like ""the driver took the wrong route"" before they go and review. But the driver took the correct root. The charge is just wrong - there's no way to dispute. I will never use Uber again... EVER! Thieves!!!!"
330,"My husband and I just got back from a walk home after never being picked up by our Uber driver. She ignored our calls and shortly after canceled our ride and we got charged. This is not the first time this has happened to us since moving to Orlando. We have been putting two and two together with the Orlando area and Uber drivers. We have discovered that people put in for rides, rides show up close by but never pick you up and then either, you cancel or they cancel, either way you get charged! What?! This is crazy, we have used Uber for years and this is unexceptionable. We will not waste our money on a company that doesn’t regulate their employees to pick up people or have any record of them ignoring calls. I guess it’s time to try a new company like Lyft. Change needs to happen in Orlando, I am not the only one with concerns."
331,"I ordered a Uber Jan 8th 2020. I saw the driver drive right past me and go to the block one block over. I texted him that he just passed me and to come back. I confirmed my address and he said no such address. Well he was wrong. He cancelled the trip and I got charged $5.25. And I saw the driver go back past me on his way out of the area. I scheduled another uber and he found me just fine.. The uber app was in error sending the driver to the next street over. The driver was in error for not answering my texts. And UBER corporate was wrong in denying me a $5.25 refund... USE LYFT INSTEAD, I DO NOW.... AND UBER IS IMPOSSIBLE TO CONTACT..."
332,"This was the most terrible trip I have had with Uber. This is not acceptable as an Amex platinum member I should receive top notch service as per the Amex platinum/Uber partnership program, and this was anything but that. My driver was completely lost and did not know where to go as I was only attempting to get to the airport. He says his GPS did not work and even mentioned that he hates Uber and always tells customers to choose Lyft instead. As a result I arrived at airport 25 minutes late and missed my flight. After complaint to the company for this instance, Uber did nothing except offer to refund the ""extra money"" that was unexpectedly charged due to the additional distance because of the driver getting lost. Listen to this Uber driver employee and use Lyft instead as I will going forward."
333,They don’t care about safety. I was a driver for Uber and they all time send me 6 or 7 people and my car only 4 people. When you tell the company this not good for the car and not safe they say cancel the trip. When you cancel the trip they get mad at the driver.
334,"The second there is an alternative to Uber, I will use it and never, ever look back. What you have to go through to get the app, your personal information/payment options and the experience to work is tantamount to abuse. Their technology must be designed and maintained by 7-year-olds or someone with that level of arrested development. All of a sudden, Uber starts denying my payment methods and asking me for new ones, when there is absolutely nothing that has changed and perfect financial integrity on my end. New payment methods are NOT accepted. ""Customer service"" is a cat chasing its tail and there is no phone-based help available(!) Unequivocally the worst internet-based service in the history of the internet, or phones for that matter. Take a taxi!!!"
335,"I would like for everyone to be safe for the holidays and also I wanted to share my HORRIBLE experience with Uber Atlanta Uber/Lyft Drivers United. So I was headed home from work and I rake a Uber from the train station and the Uber driver got ready turn in the neighborhood. And I told him this is the wrong neighborhood and Uber driver tells me, ""I’m following the GPS"" and proceed to go in the neighborhood and pulls up to a house that was also not mine. I then told him once again this is not where I live. And moral of the story I end up having to walk home and I will no longer be riding with UBER. They are unsafe and drivers don't care about your safe. I have continua to report my issue and they did nothing about us and thought a 5 dollar credit would solve the problem. I am terrified and very scared to after my multiple horrible experiences."
336,This past Sunday we took an Uber from LAX to Fullerton CA which normally is between $40-$50. This time it was $114 plus tip! The reason was high demand but the airport was not crowded and traffic was light. We are switching to Lyft. Bye Bye Uber.
337,It’s absolutely horrible experience and felt systematic loot by the corporate whose tariff not controlled by any government authorities. Neither they care for our laws. The charge for Goregaon west to CST RAILWAYS WAS Approx 1000/- INR WHEN I GOT DOWN within 2 km they charged me 230/- as penalty. Is our government protecting our right and controlling unethical business practices of UBER? Disgusting.
338,"At booking, I was given a price range of $13-17 (similar price to exact trip taken the previous day at the same time). Accepted, met with driver on time...no difficulties, no construction, no additional stops. After trip completed, fare charged was increased to $23.25. I was not informed by my driver that my rate had increased, nor given a reason why by customer service, despite several requests for a simple explanation. Misleading and unethical business practice. I used to trust this company, and used them exclusively...but their decision to perform and defend this bait and switch tactic gives me reason to give my business to their competition. Thankful for the lesson."
339,Uber is on so fast haven't had any issues with the company or any of the drivers. I'm always nervous getting a ride from someone I don't know but that is why I count on the Uber company to research the people that work for them...
340,The cancellation fee should change because if a driver is 20-30 minutes away I would like to cancel because I need someone closer and you can’t see how far away the driver is until you confirm the price and that’s when you see how far away the driver is to meet with and you. And in most times the cancellation fee is taken out even if you don’t meet with the driver and you cancel the fee is taking out the app show $0.00. And when you check your debit card account it show that it has been taken out so sometime needs to be done or changes to the app and service!!
341,I have been a loyal customers for a few years. I take several Ubers a day spending roughly almost $ a month. I have two jobs and mistakenly put the address of the wrong job. 2 minutes into the ride I realized I was going to the wrong location. Instead of going right he went left. I told him to let me out (okay with being charged being that it was my mistake) but when I told him to stop he rode faster to the destination making it completely unsafe and dangerous being that it was also raining this morning. He left me at my destination leaving me all the way on the other side making the fare that much higher. I had to pay an additional $15 to the $7.63 I had to pay for the last one.
342,"Convenient, but not happy with 'peak' rates; hate drivers who rely so much on GPS; once had a driver go wrong way down one way street in NYC; hate the pressure to give 5 star ratings for experiences that are good but not great."
343,"The driver has submitted a claim for $150 through the app. After calling him through the Lost Item option on the app and confronting him about it, he claims he has no idea what I'm talking about and that he's ""too busy"" for this. His claims are false and fraudulent, and I will NOT be held liable for a fraudulent scam. I will be reporting this company and your driver to the police for fraud. I will also report you to the Better Business Bureau and raise hell on any and every social media site known to mankind. "
344,"I booked an Uber Ride in Geneva, Switzerland on 8/24/19. The ride did not show up at the address I specified. I was charged a cancellation fee. I ordered another Uber Ride and again they did not show at the address indicated. I was charged another cancellation fee. I made one final attempt and this time they got it right. I felt the drivers in Switzerland were horrible compared with my positive experiences in the US. I would highly recommend not using the Uber service internationally. I filed a complaint about the cancellation charges and they indicated that my credit card would be refunded on 8/25/19."
345,"The first (and last) time I ever used Uber, the fare estimate was $61. When I logged on to book a car, I got a screen that looked like upgrade options, the lowest of which was $89. There was an option to ""Skip this Step"" so I did. I never got a screen telling me my total or asking me if I agreed to book it or not. Just that the car was on its way. The car that arrived was a huge SUV that could probably seat at least 8 people (I was alone and had one small piece of luggage and a backpack), and when I looked at the receipt later, I saw that they charged me $150 for this unnecessarily huge vehicle. When I wrote them about it they claimed I submitted a different destination location, which is entirely untrue. And they were so cold as to not even give me a break as a 1st time user, refunding at least some of that outrageous total. Terrible company in my experience."
346,"I traveled to Orlando last week with 3 other adults. We were picked up from the airport in a Corolla. Three adults in the back and one in the front. The ride was uneventful and we were dropped off about 1 hour later. I received an email from Uber on our 3rd day of vacation stating that they were adjusting my rate by $120.00. I was confused so I sent an email thru the help app. I was informed that I was being charged a cleaning fee of $120.00 as our driver reported we made a mess of her car. They then sent me pictures of what looked like vomit on the driver side rear floor, door and seat. I was shocked."
347,"We booked a ride from Suffolk County to Brooklyn in the early evening on Saturday and was charged $142, which is not totally unreasonable. However they charged $251 to return back again because it was later on Saturday and they know they can charge more due to more folks needing rides after going out. They take advantage of folks in less than a cohesive mindset and this practice should be considered gouging and discontinued."
348,"I requested a driver to take me about 25 miles. The stated fare was $42.07...reasonable for the long distance, and I have a pass which discounts the trip afterwards. I watched on the app as the assigned car drove around about 3 miles away...then received a request to rate my trip, all within about 5 min of requesting the 25 mile trip. I figured the driver must have cancelled or something and requested a new trip. The second driver came and drove me to the requested destination. Same distance, same stated fare, no problem. I noticed later that I had been charged for both trips though. I know mistakes happen, so just messaged Uber to request that they refund the trip that did not occur. "
349,"Usually I travel to DFW airport daily for my job. Yesterday I rented Uber just as I do everyday. My driver was Glorelys. I am deliberately writing this review in order to educate consumers and since Uber has monopoly is U.S. and they feel nobody or no review can harm their reputation. This, Glorelys was new immigrant from Venezuela. I just don't want to discriminate, but because of my experience I asked her when did she moved to U.S.? She didn't know a single word of English. She was talking in Spanish with me and authorities at the airport. Though I was guiding her on right path, she didn't heed my advice since she didn't understand English. She roamed around airport for 1 hour and Uber charged me $12 more than usual charge. I was late for my job. Instead of giving me refund, it charged more for driver's fault. "
350,Uber is a great option when traveling or other times you don't have a car available. Fare is reasonable and drivers are polite. I have never had any concerns when using Uber. I will continue to use it especially when traveling rather than renting a car.
351,"In my experience, Uber Drivers always show up on time. I never have to wait long and they are always pleasant. The vehicles are clean and roomy, when needed. When traveling, the drivers are always helpful and they give recommendations on great places to eat and different sites to tour."
352,Uber has really been difficult. I would like to use my account to order food but the number associated with my account is almost 5 years old. I haven't had that number in AT LEAST 3 years but they will not allow me to change it because according to support the only way to change it is through the app. So I download the app and enter my number but obviously that doesn't work cause it's not associated with my email. It is however associated with the driver account I attempted to make but there was no email associated with that account because the process was not finished.
353,"I tried to get an Uber last night. Waited a while and was notified driver can not be found do I want to continue. I selected no. So I walked a MILE after an 8 hr on your feet, walking the entire time shift in over 100 degree weather to catch the bus. To wake up finding Uber charged me for a ride I never took. The app asked if I wanted to continue. By selecting no it should have cancelled. I even went back into the app and the app has no past details of any record of me taking a ride. SO FRAUDULENT"
354,"I try to avoid rideshare if possible because of the uncertainty of when the vehicle will actually arrive. The arrival time keeps changing as other passengers are added to the list of pick-ups. The last time I used ride-share, I waited about 20 minutes for a car to arrive."
355,Only use it in town. Would not use alone to airport or long distance if I did not know the driver. Locally the drivers are really nice. I like the idea of having an account with Uber so no problems paying.
356,My Uber app will not now work for me. I have tried going through the Uber website but it tells me my phone number is already in use and cannot be transferred to another account. When I went further on trying to get help it told me ‘we received this email from a different email address than the one you initially used to contact us. Please contact us from that email address.’ Emailed begging someone to call me to no avail. Uber does not have a number to call. So frustrated! Guess Lyft is now my transportation.
357,"Riccardo, Honda Civic, license plate ** in Los Angeles was to pick me up at LAX. Waited only 5 minutes and he texted me to confirm where I was going. He said he would be there in a minute. He pulls up 20 ft from me, and as I walk out from curb he just takes off. I texted him saying, ""Where are you going?"" He said, ""I don't want to take you"" and then charged me a $5 cancellation fee despite he's the one that cancelled it at the last second. Riccardo you're a jerk. Your Uber profile states you drive because ""Need clients to support myself and loved ones."" Such baloney ya loser."
358,"I use the service at least 5 days per week and generally get excellent service. And when there has been an issue the Co. has made thing right. My only complaint is that it is difficult to communicate with them, especially if it is a complaint not listed on the frequently asked questions"
359,"I ordered food, and it was supposed to be delivered at 6:55pm. At 7:10 the driver, Tariq, contacted me that he could not found my address (5 min from the restaurant), already on Uber website. I gave him some instructions on how to find it, and he told me I gave the wrong address. Another 10 min and he call again that he was lost. When I try to help him, he told me that he could not waste any more time on my order, because he was losing money every minute. He told me that he was canceling my order. I called the restaurant, reorder the food, and went there to pick up. I was parking on the restaurant when the Uber driver calls again, at 6:40, telling me he was in front my house and I wasn't there to receive my order. I lost it. I told him to feed the food to his dear mother and leave me alone. What a bad experience. I will never order from Uber again."
360,"Uber is the worst service provider. There is no way you can reach them for any support/complaints. Because of their low standards and no customer care in place, the drivers are their own bosses and are not scared of any misconduct and unethical behaviour. You guys really need to have a strong and reachable customer service in place. I have been trying to report an issue since the last one hour but no success so far. Pathetic! Ola is anytime a better option."
361,"The driver incorrectly the wrong pick up time and also the wrong drop off location. This prompted me being overcharged and UBER is refusing to provide a refund for BOTH mistakes. They claim to have ""dealt with my poor experience by dealing with the driver"" but will not give me my money back. They just lost another customer for $7. DONE USE UBER."
362,"Uber steals what little drivers make and puts the money in their fat pockets. Doesn’t even come close to making minimum wage. Uber is too busy stealing from drivers while reducing their pairing. They control your earnings and steal 40% waste of time, money and gas. You’ll drive around more looking for trips than you would actually driving passenger. If you complain Uber retaliates. Uber has made numerous changes to drivers earnings while they collect all the profit including the pools that should count multiple passengers towards your quest. Instead only counts as one trip. You make less than minimum wage and isn’t even worth carpooling to work. Drivers are going on strike for a reason because Uber steals from them. Waiting two hours for a passenger nothing. It’s not even worth it carpooling to work."
363,"I correctly entered in the destination on the app but when the driver arrived he couldn't take me because he showed my pick up location as the destination, on his phone. So he had to leave without giving me a ride. I canceled my Uber account immediately and got Lyft, which completed my ride. Uber has no personalized customer service for their customers. It's all robotic ""check item below that best describes your issue"" then read the advice. THE WORST ONLINE-SERVICE COMPANY IN THE WORLD."
364,"I ordered an Uber around 1130pm on July 20, 2018 for a 4.6 mile drive that would normally take 10 minutes. The regular car said it would cost almost $17 and the rideshare option was between $11-12. I opted for the cheaper option to save some money. The app told me the driver would arrive in 5 minutes, I waited in excess of that for the driver, fine. I get in the vehicle and settle in to look at my phone to see the fare jumped to $14.06. I agreed to one fare and Uber charged me over the agreed upon fare. Not to mention the driver drove so slow as if he was waiting for another pickup along route. I arrived to my destination much later than expected. He would stop at stop signs and wait half a minute before moving, it was past midnight at this point and there was nobody on the road. He also drove a route that was slightly longer than another. "
365,"Uber have no customer service. If something goes wrong, too bad. My driver got lost, went a long way, and through an unnecessary toll. I was charged $10 more than I was quoted on the app when I accepted the ride. I contacted them on the app and on Facebook and they said nothing was wrong then would not respond to messages. I used to love Uber! Now the amount I’m charged often doesn’t match the quote and ends up being the same or more expensive than a taxi. I’ll be going with taxi and other ride share apps in future."
366,"Needed a ride to Sky Harbor airport, set up my ride online, got my confirmation info. Driver was on time and a super easy person to converse with. He made our trip to the airport easy, comfortable and very enjoyable."
367,"I was quoted for a short trip. I was picked up late. The driver was super impolite. And to top it off, then charged me almost twice the quote and said there was an INEXISTENT toll paid, where there were no tolls at all in a 5-7 block drive into an airport from where I was picked up. The quote was from exactly where I was picked up to drop off in the airport so no other additionals were due. They ripped me off. I will never return to them EVER. I asked to be reimbursed and they did not."
368,"We ordered an Uber to take my 2 year old to the doctors because he was sick. We ordered an Uber. Waited under a tree trying not to get wet as it was pouring outside, windy, and freezing cold. The driver Luis ** passed by us while we were huddled under a tree and drove 2 blocks down the street. When my husband explained we have a baby and he needs to come back he told us no. He wanted us to walk 2 blocks in a thunderstorm, rain pouring down the streets because he didn’t want to turn around. Uber is charging us a cancellation fee for the driver.... HE DIDN'T DO HIS JOB!!! I’ve requested a refund back but they still haven’t sent it. It’s not the money I care about. It’s the principle that this driver Luis ** does NOT deserve money for a service he didn’t do."
369,"Customer service is absolutely terrible. I have recently been locked out due to some background check. In the middle of a fair mind you. I recently relocated to a different state and have a different driver's license. The old state driver's license was still active in my account but due to it no longer being a valid license, and I supplied the new one, the background check failed and now I have to wait 7-15 days for a resolution."
370,"I have used Uber and always had a great driver and no problems. However, the safety of it does freak me out. But it's JUST like a taxi right? It is a great way to get around especially on vacations! So is the taxi. I'm not sure why I feel more comfortable in a cab without knowing the driver than an Uber. Maybe I've just watched too many TV shows."
371,"I been using Uber for a while. I had to go grocery shopping and the trip from my home to the grocery store. Stopped on the way to mail my rent out. Put it in the outside box. The trip was like 1 1/2 miles. I was charged 9.99. BUT my ride home from the grocery store, they charged me $33.00 and change. What a ripoff! Same distance when I was going there. I wrote them and complained and they wrote me telling me they weren't giving me any kind of refund. That is so unfair. Yes, big ripoff!!!"
372,I let bygones be bygones and move on with life.
373,"Our driver never showed up and Uber cancelled our ride, not us. They charged us a cancellation fee for them cancelling. When I disputed it they would only credit it on future ride instead of refund back to our credit card. Why am I only getting a credit on account instead of a full refund to my credit card used?? This is not right what you have done when it was a Uber error."
374,"As a driver you are always wanting to protect yourself by having a dash camera to present evidence for any allegation, I had to file a police report with the Philadelphia Uber hub Office for not submitting my - camera footage and even possibly performing negligence by using my - camera footage with my customers and myself in inappropriate ways. When traveling with any company such as even uber. When they have no way of protecting the customer or driver to reassure nothing happened that was illegal or immoral there is a security concern. "
375,"Disgrace! Food delivered an hour later, stone cold. Uber takes no responsibility and refuses to answer simple questions, e.g. at what temperature the food should be delivered. HORRIBLE customer service, no reimbursement and no support post purchase. AVOID, AVOID, AVOID! Use other RELIABLE services!"
376,"Feedback about the booking fee. Recently Uber started to charge a so-called booking fee, claiming that this is to support one of a sudden safety initiatives. What am I getting from your safety initiatives? Just another trick to charge customers more. Would love to see the list of Uber initiates they currently do for passengers. Also, there is no transparency about the fee. It should be added to the estimated cost of a trip before a customer orders rather than in a sneaky way of adding after the fact. Just very frustrating because such a reputable company like Uber make its customer feel like fools."
377,"Received an Uber gift card, so I downloaded what I thought was the Uber rider app. I started to complete & realized it was the driver app. Customer Service was nice, but you can't talk to anyone, I called the 800 number. It's all done through ""chat"", which to me is the poorest customer service there is. To delete the driver account I would have to delete both driver and rider account (which is automatically set up with driver account??). Customer Service rep told me they can disable the driver account to keep the rider account with my current email address, otherwise I will have to use a different email address. This makes absolutely no sense to me."
378,"Hi, in August 6 a request a Uber XL from my house in Pasadena to Newport Beach. They send me a Chevrolet Suburban black. Very nice car! And my trip was $133. 4 days later I request the same type of car to come back to my house in Pasadena. They send me a Mitsubishi Outlander old suv small, I text the guy letting him know that I need a bigger car cause I have a lot luggage, he say, ""No my truck is big."" We say, ""Ok let’s see when you get here,"" when I saw the car I tell the guy, ""No I need a bigger car,"" he rush to put my luggage in his car and make the car full and we can’t put people in that car, we ended filling everyone in my other car, when I ask the guy how much is this trip he say he don’t know, I look in my app I can find how much will be this trip, when we arrive at home he left and finally I see how much they charge me!! I can’t believe!! $504 dollars!! Are you kidding me???? "
379,It is a good service but the website or app has very little on questions from users. It is very difficult to see if the service is good or not through the website. You need to try it first and the service keeps on changing without notice. Which in some ways is great but no upfront info or call in to talk to.
380,"I don’t have a car and grocery shopping can be a real headache. I’ve called Uber to get home. I’ve asked the driver to help me carry in my bags - they always do, graciously - and I give them a good tip and rating. It’s a win-win!"
381,"I use the Uber app to schedule a ride for 11/19/2019 at 7:00 a.m. On November 19, 2019 at 6:45 a.m the Uber app canceled my rider. Then they tried to charge my credit card for 42 dollars for a ride they cancel. I make the appointment on November 17, 2019. I’m glad I have a car where I had to drive myself to my appointment. I will never request a ride from Uber again."
382,"I've read many of the positive reviews and while I have had great drivers with Uber I've also had very bad drivers. It they are bad drivers and you think you can do something to get them removed from Uber think again. That's not going to happen. Probably the worst situation is lack of language skills with Uber drivers around NYC. Here is a case in point. I'm standing in pouring rain. Call an Uber says it will be 5 minutes. 10 minutes later I get a call from the Uber driver in serious broken English which took me about 3 times of asking ""What are you saying?"" "
383,"On 2/22, I rode from my office to my home 7 miles in 10 minutes and was charged $35. On 2/25, I summoned the same service for the same trip and was quoted $58. The driver said the trip was 14 miles. I said to follow my normal 7 mile route, which he did and arrived 10 minutes later. I asked Uber to review the charges and refund the obvious erroneous overcharge. They said the fees are final because they are within the estimate. I asked them to explain why the estimate was over 50% higher than the same trip from three days ago. They declined to make any adjustment, basically saying, ""We told you we were going to screw you and we did, so stop bothering us."""
384,"I had been using UBER since 2014, and had been happy with the services until the beginning of 2018. In the beginning of 2018, I would try to request a ride through the UBER app, but for some reason, the request would get denied and there was no explanation at all on the app. After months of trying this, I reached out to UBER a few times through my account and through their Facebook page. When they responded via their Facebook page, they stated that they will send an email to me to my email address. When they sent their email to me, it stated that my UBER account was suspended, but did not state the reason behind it nor did they state the time frame of the suspension. I was never made aware of the suspension until this email was sent to me. "
385,I have had bad experiences with Uber drivers & especially Uber Eats. Many of them don't show up or cancel even though the web ( google) shows they are here! I have read that some actually cancel & eat the customers food! I use another service now.
386,"Uber lies, cheat, steals, cons, tricks drivers. They kept dropping the pay from 1.80 a mile last year to 70 cents. That is on average. They do not even pay for gas while they charge Customers a minimum of $7.00 and pay driver $3.00. Driver pays gas costs. Drivers went from wondering if they are ripping you off. To them telling you the $3.00 dollar is an error in the system. But 1 year later, they still do the same thing. But now, it has all changed: Uber is now blatantly criminally robbing drivers. "
387,"Great personable driver, very clean car. On time knee he knew the area well. Offers further help. The price was excellent. I have been thinking of doing it part time. Definitely will use again for a night on the town."
388,Uber charged me an additional $42 for a ride to Laguardia Airport. They would not correct my fare because they say I changed my Destination from Delta Arrivals to Laguardia airport. Idiotic and the fare shows my added charges as return tolls over the GW bridge!
389,"I've only used Uber once but I had a good experience. They arrived on time, took the shortest route and got me to my destination. He was very pleasant and friendly."
390,"Not a regular user of Uber but the five times. Uber it was convenient, safe, and reasonable priced. Much less than a DUI and paying for airport parking."
391,"I am police officer. I book Uber for CST to Kalyan 23/09/2020 11:30 am and he is not talking properly and my wife along with me that time also. He is using bad words. Is this uber drivers do nonsense thing and when I am telling him, ""Just cancel the uber if you cant come here,"" then also he is doing arguments. Please respect to police. You know you uber just doing driving job and Police they Are 24/7 at police station. Mr ** uber driver. He is very bad person, He dont know how to talk with women and police officer. I am request to uber please remove him from uber driver. Car no **."
392,All the convenience of a taxi at half the price. They are there in minutes rather than the unknown taxi ETA. They are always friendly. The cars are usually clean and smell good. I don’t ever use taxis anymore. You can schedule a day and time to be picked up too. And that’s very nice.
393,"I am a part-time UberSelect Driver-Partner, working in Montreal. Recently, Uber made some changes to the categories of Rides, adding UberComfort and UberPremiere. I contacted the support through the app, to inquire how come my 2017 Audi A4, a luxury sedan, isn't eligible for those rides, especially since I have a nearly perfect score of 4.93 stars, and all I have been getting is the worst ever run-around, completely ignoring my requests to escalate to a Team Leader or a Supervisor or a Manager/Director in my area whom I can ACTUALLY SPEAK TO, and they keep copy-pasting replies that make absolutely no sense whatsoever. I guess they're all the way in India the support team, because they can't even comprehend basic English."
394,"The Drivers have vehicles that are unsafe. Either picking you up in a car that has been wrecked, driving on spare tire or smelly cars. The drivers try and be courteous but they drive too too fast and unsafe."
395,"I urge you, do not use Uber. They are well known but as you use them please be sure to look closely at what they are charging and when they are charging. I strongly emphasize on the when. They charged me on a ride I never used even after I said they are not authorized to. I have record of the trip history as canceled just 2 seconds of calling for a ride and they blatantly ignored it. Never addressed that this was an unauthorized charged. 90 days after this trip, I was sent an email 3 days ago from them stating they will charge me because their system made a mistake. Shortly after this, I figured out that their loophole is to close the account 30 days after your trip so you cannot dispute it then send a notification 90 days later saying their system made a mistake to a ride that will be charged 14 days later. "
396,"Uber's customer service is beyond horrible. It's been three weeks and I still can't get them to reset my account. Someone answers after three emails maybe. Then they ask the same questions. And then never respond again. If you have an issue, don't expect it to ever be solved. This isn't my first encounter. My previous company stopped working with them as a business client because they never responded to any of our emails."
397,The most advertised company Uber Eats has worst application and the order procedure where they don't let the customer to cancel the order but reflects on guidelines to ask on support where the customer support also keeps on wasting time of the customer during the procedure so that they can charge the price of order and then cancel it. Happened twice. Customer executive name: Saurabh.
398,A few years ago I purchased the Uber app as advertised using the $20 in case of an emergency for myself due to my situation. I had no transportation and still don’t today. I was at a doctors appointment In Sanford Florida behavioral Center for my depression. The nurse took my blood pressure and pretty much gave me a lecture due to my new high reading. I was able to see the doctor right away due to it being an emergency for having a stroke any second that day. I couldn’t go to the emergency room because I tried to use your app I was looking forward to due to my emergency however it never worked out other than I lost $20 for something I was never able to benefit from due to my situation that shouldn’t have been an issue. I realize Uber was just getting started at the time. I only wanted to bring it to their attention. Thank You.
399,"I had to pay for a ride I did not get!!!! Charged 3 times, I paid for a ride 1 way 16.00 then for a ride back home for 15 min I paid 50.00, then for a ride I did not get but was charged 14.00, Uber drivers. Get very little, Uber corporation is taking most of drivers' money, this company is a total scam, they will not refund money back!!! Should be shut down!!!!"
400,"Apparently, it must be an easy way for Drivers (and Uber) in the Miami, Florida area to make a quick buck without working, as I was hit with not one, not two, not three, but SEVEN bogus charges within the span of 2 weeks. The game apparently works like this: you request a ride, the driver accepts the ride request, the driver gets near the pickup spot, cancels the request, charges your card for the cancellation (hoping you never notice the charge), then goes on to his/her next victim in the area."
401,I got this guy and he charged me and never came. He blamed the GPS when I gave him clear directions then when he finally saw us he drove off and canceled the ride charging me $13 and still charged me plus a $5 fee for driving around. What a scum bag. Spread the word so people know. I don't want this happening to other people I want you all to be aware of what some Uber driver are doing. Be careful and always check your online receipt because they are ripping people off???
402,"Headed to the airport, Uber asks me to confirm my phone number. I do, and they ask me to enter a 4 digit code that I never receive. I contact customer support via the app (there is no phone number), and they ask for my phone number, a screenshot of my phone number, and my last few trips. They contact me almost 2 hours after submitting these details to ask for these 3 details again. I sent this info again, and they reply with a similar message. I type everything out and take new screenshots of everything, and they once again ask me for my phone number. I finally ask, ""Is there any way I can continue using your app, or do I have to use a competitor going forward?"" 20 hours passes. No answer. All I want to do is use the app, all of my info is the same, and has never changed."
